=== Training Session Started ===
Device: cuda
Network Architecture: [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 8]
Number of Inputs: 8
Learning Rate: 0.1 (initial)
Training samples: 52
Patience: 200
Step 0590 | Loss = 6.945388 | LR = 0.050000 | Correct: 48/52 | Patience: 36/200
Step 0600 | Loss = 8.576626 | LR = 0.050000 | Correct: 48/52 | Patience: 46/200
Step 0607 | Loss = 6.641417 | LR = 0.025000 | Correct: 48/52 | New best loss! (patience reset)
Step 0610 | Loss = 6.711696 | LR = 0.025000 | Correct: 48/52 | Patience: 3/200
Step 0611 | Loss = 6.629580 | LR = 0.025000 | Correct: 48/52 | New best loss! (patience reset)
Step 0613 | Loss = 6.567095 | LR = 0.025000 | Correct: 48/52 | New best loss! (patience reset)
Step 0619 | Loss = 6.534741 | LR = 0.025000 | Correct: 48/52 | New best loss! (patience reset)
Step 0620 | Loss = 6.509615 | LR = 0.025000 | Correct: 48/52 | New best loss! (patience reset)
Step 0627 | Loss = 6.501447 | LR = 0.025000 | Correct: 48/52 | New best loss! (patience reset)
Step 0628 | Loss = 6.498527 | LR = 0.025000 | Correct: 48/52 | New best loss! (patience reset)
Step 0630 | Loss = 8.418818 | LR = 0.025000 | Correct: 48/52 | Patience: 2/200
Step 0640 | Loss = 6.474349 | LR = 0.025000 | Correct: 48/52 | New best loss! (patience reset)
Step 0650 | Loss = 6.530427 | LR = 0.025000 | Correct: 46/52 | Patience: 10/200
Step 0658 | Loss = 6.453530 | LR = 0.025000 | Correct: 46/52 | New best loss! (patience reset)
Step 0660 | Loss = 6.561204 | LR = 0.025000 | Correct: 48/52 | Patience: 2/200
Step 0670 | Loss = 6.499483 | LR = 0.025000 | Correct: 46/52 | Patience: 12/200
Step 0680 | Loss = 9.701734 | LR = 0.025000 | Correct: 48/52 | Patience: 22/200
Step 0690 | Loss = 8.254004 | LR = 0.025000 | Correct: 48/52 | Patience: 32/200
Step 0700 | Loss = 8.260483 | LR = 0.025000 | Correct: 48/52 | Patience: 42/200
Step 0710 | Loss = 8.261333 | LR = 0.012500 | Correct: 48/52 | Patience: 52/200
Step 0720 | Loss = 8.197584 | LR = 0.012500 | Correct: 48/52 | Patience: 62/200
Step 0721 | Loss = 6.435320 | LR = 0.012500 | Correct: 48/52 | New best loss! (patience reset)
Step 0727 | Loss = 6.426847 | LR = 0.012500 | Correct: 48/52 | New best loss! (patience reset)
Step 0729 | Loss = 6.421374 | LR = 0.012500 | Correct: 46/52 | New best loss! (patience reset)
Step 0730 | Loss = 8.152346 | LR = 0.012500 | Correct: 48/52 | Patience: 1/200
Step 0731 | Loss = 6.402172 | LR = 0.012500 | Correct: 47/52 | New best loss! (patience reset)
Step 0739 | Loss = 6.397261 | LR = 0.012500 | Correct: 46/52 | New best loss! (patience reset)
Step 0740 | Loss = 8.143201 | LR = 0.012500 | Correct: 47/52 | Patience: 1/200
Step 0744 | Loss = 6.389980 | LR = 0.012500 | Correct: 46/52 | New best loss! (patience reset)
Step 0747 | Loss = 6.381338 | LR = 0.012500 | Correct: 48/52 | New best loss! (patience reset)
Step 0749 | Loss = 6.358657 | LR = 0.012500 | Correct: 46/52 | New best loss! (patience reset)
Step 0750 | Loss = 8.120853 | LR = 0.012500 | Correct: 47/52 | Patience: 1/200
Step 0757 | Loss = 6.352197 | LR = 0.012500 | Correct: 48/52 | New best loss! (patience reset)
Step 0759 | Loss = 6.316024 | LR = 0.012500 | Correct: 45/52 | New best loss! (patience reset)
Step 0760 | Loss = 9.571157 | LR = 0.012500 | Correct: 48/52 | Patience: 1/200
Step 0768 | Loss = 6.307604 | LR = 0.012500 | Correct: 48/52 | New best loss! (patience reset)
Step 0770 | Loss = 9.565855 | LR = 0.012500 | Correct: 48/52 | Patience: 2/200
Step 0774 | Loss = 6.295749 | LR = 0.012500 | Correct: 46/52 | New best loss! (patience reset)
Step 0780 | Loss = 8.040858 | LR = 0.012500 | Correct: 48/52 | Patience: 6/200
Step 0782 | Loss = 6.290840 | LR = 0.012500 | Correct: 48/52 | New best loss! (patience reset)
Step 0784 | Loss = 6.281591 | LR = 0.012500 | Correct: 46/52 | New best loss! (patience reset)
Step 0787 | Loss = 6.281429 | LR = 0.012500 | Correct: 48/52 | New best loss! (patience reset)
Step 0790 | Loss = 8.033472 | LR = 0.012500 | Correct: 48/52 | Patience: 3/200
Step 0792 | Loss = 6.275211 | LR = 0.012500 | Correct: 48/52 | New best loss! (patience reset)
Step 0794 | Loss = 6.256188 | LR = 0.012500 | Correct: 46/52 | New best loss! (patience reset)
Step 0800 | Loss = 8.013885 | LR = 0.012500 | Correct: 48/52 | Patience: 6/200
Step 0804 | Loss = 6.256077 | LR = 0.012500 | Correct: 46/52 | New best loss! (patience reset)
Step 0807 | Loss = 6.251531 | LR = 0.012500 | Correct: 47/52 | New best loss! (patience reset)
Step 0810 | Loss = 7.963092 | LR = 0.012500 | Correct: 48/52 | Patience: 3/200
Step 0814 | Loss = 6.246624 | LR = 0.012500 | Correct: 46/52 | New best loss! (patience reset)
Step 0820 | Loss = 7.964402 | LR = 0.012500 | Correct: 48/52 | Patience: 6/200
Step 0822 | Loss = 6.221691 | LR = 0.012500 | Correct: 48/52 | New best loss! (patience reset)
Step 0824 | Loss = 6.220237 | LR = 0.012500 | Correct: 46/52 | New best loss! (patience reset)
Step 0830 | Loss = 7.945917 | LR = 0.012500 | Correct: 48/52 | Patience: 6/200
Step 0834 | Loss = 6.195535 | LR = 0.012500 | Correct: 46/52 | New best loss! (patience reset)
Step 0840 | Loss = 7.940818 | LR = 0.012500 | Correct: 48/52 | Patience: 6/200
Step 0850 | Loss = 6.247130 | LR = 0.012500 | Correct: 46/52 | Patience: 16/200
Step 0860 | Loss = 6.236795 | LR = 0.012500 | Correct: 46/52 | Patience: 26/200
